Extended GOX/ABS CEA Tables,,,,,,,,,,,,,,,
"Flame Temperature, Deg. K                                                                                                O/F  Ratio",,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
3102.6,1610.34,1602.1,1686.68,1771.71,1796.44,1785.97,1762.86,1737.29,1712.26,1688.69,1609.25,1547.38,1496.05,1450.71,1408.78
3447.4,1610.47,1602.15,1686.84,1772.61,1798.23,1788.23,1765.34,1739.78,1714.67,1691.07,1611.34,1549.26,1497.58,1451.92,1409.74
4136.8,1610.67,1602.15,1687.15,1774.02,1801.27,1792.14,1769.54,1743.98,1718.9,1695.18,1615.04,1552.46,1500.28,1454.06,1411.35
5515.8,1611.03,1602.09,1687.6,1776.21,1805.75,1798.23,1776.1,1750.7,1725.48,1701.63,1620.78,1557.39,1504.43,1457.36,1413.75
,,,,,,,,,,,,,,,
Prandtl Number                                                                                                                     O/F  Ratio,,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
275.79,0.4488,0.3932,0.2963,0.3077,0.3733,0.4192,0.4449,0.4609,0.4722,0.4808,0.5018,0.5131,0.5218,0.5308,0.5418
413.68,0.4544,0.4057,0.3073,0.3123,0.3765,0.4229,0.4489,0.4652,0.4766,0.4854,0.5067,0.5183,0.5273,0.5367,0.5484
551.58,0.4582,0.4142,0.3157,0.316,0.3789,0.4258,0.4521,0.4684,0.48,0.4888,0.5103,0.5221,0.5312,0.5411,0.5532
689.47,0.461,0.4204,0.3225,0.3191,0.381,0.4281,0.4546,0.4711,0.4827,0.4916,0.5132,0.5251,0.5343,0.5444,0.557
861.84,0.4638,0.4264,0.3295,0.3225,0.3831,0.4305,0.4572,0.4738,0.4855,0.4944,0.5162,0.5281,0.5375,0.5479,0.5608
1034.2,0.4661,0.4312,0.3354,0.3255,0.385,0.4326,0.4595,0.4761,0.4879,0.4969,0.5187,0.5306,0.5401,0.5507,0.5639
1206.6,0.4679,0.435,0.3405,0.3281,0.3867,0.4344,0.4615,0.4782,0.4899,0.4989,0.5208,0.5327,0.5423,0.5531,0.5666
1378.9,0.4696,0.4383,0.345,0.3305,0.3881,0.4361,0.4632,0.4799,0.4918,0.5008,0.5226,0.5345,0.5443,0.5552,0.569
1723.7,0.4724,0.4436,0.3526,0.3347,0.3907,0.4389,0.4662,0.483,0.4949,0.5039,0.5257,0.5377,0.5476,0.5588,0.5729
2068.4,0.4748,0.4478,0.3589,0.3384,0.3929,0.4413,0.4688,0.4857,0.4975,0.5065,0.5283,0.5403,0.5503,0.5617,0.5762
2413.2,0.4769,0.4512,0.3643,0.3416,0.3949,0.4433,0.471,0.4879,0.4998,0.5088,0.5305,0.5425,0.5525,0.5642,0.579
2757.9,0.4787,0.4541,0.369,0.3445,0.3967,0.4452,0.4729,0.4899,0.5018,0.5108,0.5325,0.5444,0.5545,0.5664,0.5814
3102.6,0.4804,0.4566,0.3732,0.3472,0.3983,0.4468,0.4747,0.4917,0.5036,0.5126,0.5342,0.5461,0.5563,0.5683,0.5836
3447.4,0.4819,0.4588,0.3769,0.3497,0.3997,0.4484,0.4763,0.4934,0.5052,0.5142,0.5357,0.5476,0.5579,0.5701,0.5855
4136.8,0.4846,0.4627,0.3833,0.3541,0.4024,0.4511,0.4792,0.4963,0.5081,0.5171,0.5384,0.5502,0.5607,0.5731,0.5888
5515.8,0.4892,0.4686,0.3934,0.3615,0.4068,0.4555,0.4839,0.501,0.5128,0.5217,0.5428,0.5544,0.5651,0.5779,0.5941
,,,,,,,,,,,,,,,
Viscosity Centipoise                                                                                                            O/F  Ratio,,,,,,,,,,,,,,,
Pc(kPa)  ,0.75,1,1.25,1.5,1.75,2,2.25,2.5,2.75,3,4,5,6,7,8
275.79,0.0645,0.0716,0.0829,0.0929,0.0985,0.1017,0.1035,0.1045,0.1051,0.1055,0.1052,0.1039,0.1022,0.1003,0.0983
413.68,0.0646,0.0717,0.0833,0.0937,0.0997,0.103,0.1048,0.1059,0.1065,0.1068,0.1064,0.105,0.1031,0.1011,0.0991
551.58,0.0646,0.0718,0.0836,0.0944,0.1006,0.1039,0.1058,0.1069,0.1075,0.1078,0.1073,0.1058,0.1038,0.1018,0.0996
689.47,0.0646,0.0718,0.0838,0.0948,0.1012,0.1047,0.1066,0.1077,0.1083,0.1085,0.108,0.1064,0.1044,0.1022,0.1
861.84,0.0646,0.0719,0.084,0.0953,0.1018,0.1054,0.1074,0.1085,0.1091,0.1093,0.1087,0.107,0.1049,0.1027,0.1004
1034.2,0.0646,0.0719,0.0841,0.0956,0.1024,0.106,0.108,0.1091,0.1097,0.1099,0.1093,0.1075,0.1054,0.1031,0.1007
1206.6,0.0646,0.0719,0.0843,0.0959,0.1028,0.1065,0.1086,0.1097,0.1103,0.1105,0.1098,0.1079,0.1057,0.1034,0.101
1378.9,0.0646,0.0719,0.0844,0.0962,0.1032,0.107,0.109,0.1102,0.1107,0.111,0.1102,0.1083,0.1061,0.1037,0.1012
1723.7,0.0647,0.072,0.0845,0.0966,0.1038,0.1077,0.1098,0.111,0.1115,0.1118,0.1109,0.1089,0.1066,0.1041,0.1016
2068.4,0.0647,0.072,0.0847,0.097,0.1044,0.1084,0.1105,0.1116,0.1122,0.1124,0.1115,0.1094,0.107,0.1045,0.1019
2413.2,0.0647,0.072,0.0848,0.0972,0.1048,0.1089,0.1111,0.1122,0.1128,0.113,0.112,0.1099,0.1074,0.1048,0.1021
2757.9,0.0647,0.072,0.0848,0.0975,0.1052,0.1093,0.1115,0.1127,0.1133,0.1135,0.1124,0.1102,0.1077,0.1051,0.1024
3102.6,0.0647,0.072,0.0849,0.0977,0.1055,0.1097,0.112,0.1131,0.1137,0.1139,0.1128,0.1106,0.108,0.1053,0.1026
3447.4,0.0647,0.072,0.085,0.0979,0.1058,0.1101,0.1124,0.1135,0.1141,0.1143,0.1131,0.1109,0.1083,0.1055,0.1027
4136.8,0.0648,0.0721,0.0851,0.0982,0.1063,0.1107,0.113,0.1142,0.1148,0.1149,0.1137,0.1114,0.1087,0.1059,0.103
5515.8,0.0648,0.0721,0.0852,0.0986,0.1071,0.1117,0.1141,0.1153,0.1159,0.116,0.1147,0.1122,0.1094,0.1064,0.1035
